fit_time,score_time,estimator,test_acc,train_acc,test_brier,train_brier,test_auc,train_auc,test_balanced_acc,train_balanced_acc,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall,test_tp,train_tp,test_tn,train_tn,test_fp,train_fp,test_fn,train_fn
0.032000064849853516,0.00899815559387207,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8051948051948052,0.9036544850498339,-0.1426760037429622,-0.07332155077428901,0.8696296296296295,0.9493589330584369,0.7392592592592593,0.8757683138973005,0.8648648648648649,0.9314420803782506,0.7868852459016393,0.91415313225058,0.96,0.9493975903614458,48,394,14,150,13,37,2,21
0.03198552131652832,0.007003068923950195,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8970588235294118,0.8919803600654664,-0.06006246742444318,-0.08393647681240897,0.978125,0.9378043956587307,0.8395833333333333,0.8602190412618359,0.9306930693069307,0.9228971962616822,0.8867924528301887,0.8997722095671982,0.9791666666666666,0.947242206235012,47,395,14,150,6,44,1,22
0.043047189712524414,0.009006500244140625,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9264705882352942,0.8887070376432079,-0.05083763796030364,-0.08536421142730272,0.9924242424242424,0.9354231778972372,0.9053030303030303,0.8528191023877985,0.945054945054945,0.9214780600461895,0.9148936170212766,0.8966292134831461,0.9772727272727273,0.9477434679334917,43,399,20,144,4,46,1,22
0.03299856185913086,0.008350849151611328,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9375,0.8894308943089431,-0.054756188445951474,-0.0840958153699902,0.9850340136054422,0.9394085813683803,0.9360544217687075,0.8606010823347507,0.9583333333333333,0.92018779342723,0.9787234042553191,0.8990825688073395,0.9387755102040817,0.9423076923076923,46,392,14,155,1,44,3,24
0.03321051597595215,0.008405208587646484,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8787878787878788,0.8955954323001631,-0.07607236402808253,-0.08160160267828949,0.9712195121951219,0.9395964360587001,0.8868292682926829,0.86147923529999,0.8974358974358975,0.9264367816091954,0.9459459459459459,0.9035874439461884,0.8536585365853658,0.9504716981132075,35,403,23,146,2,43,6,21
0.033258676528930664,0.008519172668457031,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8484848484848485,0.8988580750407831,-0.11787254181646746,-0.07550087242960461,0.8946877912395155,0.9501768123263452,0.8387698042870457,0.8692599141197273,0.8717948717948718,0.928735632183908,0.8292682926829268,0.9140271493212669,0.918918918918919,0.9439252336448598,34,404,22,147,7,38,3,24
0.036147117614746094,0.009735822677612305,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8,0.9006410256410257,-0.1395057276283142,-0.07617670678756593,0.9018567639257296,0.9484859945344525,0.790450928381963,0.8683876634784307,0.835820895522388,0.9303370786516854,0.7368421052631579,0.9118942731277533,0.9655172413793104,0.9495412844036697,28,414,16,148,10,40,1,22
0.033362627029418945,0.008330821990966797,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.975,0.8831385642737897,-0.04086913534405972,-0.08662610584357253,0.9827784156142365,0.9378421960549013,0.9540757749712974,0.8578839470986774,0.9850746268656716,0.914004914004914,0.9850746268656716,0.8942307692307693,0.9850746268656716,0.9346733668341709,66,372,12,157,1,44,1,26
0.03278613090515137,0.007260560989379883,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9027777777777778,0.8929159802306426,-0.07931971991111125,-0.08114031068363012,0.9443892750744787,0.9422952452078667,0.8664349553128103,0.8657455812795618,0.9345794392523364,0.9227110582639715,0.9259259259259259,0.9044289044289044,0.9433962264150944,0.941747572815534,50,388,15,154,4,41,3,24
0.03429532051086426,0.006995201110839844,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8928571428571429,-0.07485263621470657,-0.08170929489293684,0.976063829787234,0.9412908994248708,0.9361702127659575,0.861244019138756,0.9318181818181819,0.9232558139534884,1.0,0.8981900452488688,0.8723404255319149,0.9497607655502392,41,397,16,153,0,45,6,21
0.03392982482910156,0.007969141006469727,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8051948051948052,0.9036544850498339,-0.1426760037429622,-0.07332155077428901,0.8696296296296295,0.9493589330584369,0.7392592592592593,0.8757683138973005,0.8648648648648649,0.9314420803782506,0.7868852459016393,0.91415313225058,0.96,0.9493975903614458,48,394,14,150,13,37,2,21
0.03544044494628906,0.008039712905883789,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8970588235294118,0.8919803600654664,-0.06006246742444318,-0.08393647681240897,0.978125,0.9378043956587307,0.8395833333333333,0.8602190412618359,0.9306930693069307,0.9228971962616822,0.8867924528301887,0.8997722095671982,0.9791666666666666,0.947242206235012,47,395,14,150,6,44,1,22
0.03054666519165039,0.008006811141967773,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9264705882352942,0.8887070376432079,-0.05083763796030364,-0.08536421142730272,0.9924242424242424,0.9354231778972372,0.9053030303030303,0.8528191023877985,0.945054945054945,0.9214780600461895,0.9148936170212766,0.8966292134831461,0.9772727272727273,0.9477434679334917,43,399,20,144,4,46,1,22
0.030467510223388672,0.008001089096069336,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9375,0.8894308943089431,-0.054756188445951474,-0.0840958153699902,0.9850340136054422,0.9394085813683803,0.9360544217687075,0.8606010823347507,0.9583333333333333,0.92018779342723,0.9787234042553191,0.8990825688073395,0.9387755102040817,0.9423076923076923,46,392,14,155,1,44,3,24
0.03383350372314453,0.008378028869628906,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8787878787878788,0.8955954323001631,-0.07607236402808253,-0.08160160267828949,0.9712195121951219,0.9395964360587001,0.8868292682926829,0.86147923529999,0.8974358974358975,0.9264367816091954,0.9459459459459459,0.9035874439461884,0.8536585365853658,0.9504716981132075,35,403,23,146,2,43,6,21
0.03411674499511719,0.009108781814575195,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8484848484848485,0.8988580750407831,-0.11787254181646746,-0.07550087242960461,0.8946877912395155,0.9501768123263452,0.8387698042870457,0.8692599141197273,0.8717948717948718,0.928735632183908,0.8292682926829268,0.9140271493212669,0.918918918918919,0.9439252336448598,34,404,22,147,7,38,3,24
0.03460121154785156,0.006929159164428711,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8,0.9006410256410257,-0.1395057276283142,-0.07617670678756593,0.9018567639257296,0.9484859945344525,0.790450928381963,0.8683876634784307,0.835820895522388,0.9303370786516854,0.7368421052631579,0.9118942731277533,0.9655172413793104,0.9495412844036697,28,414,16,148,10,40,1,22
0.03473043441772461,0.007900714874267578,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.975,0.8831385642737897,-0.04086913534405972,-0.08662610584357253,0.9827784156142365,0.9378421960549013,0.9540757749712974,0.8578839470986774,0.9850746268656716,0.914004914004914,0.9850746268656716,0.8942307692307693,0.9850746268656716,0.9346733668341709,66,372,12,157,1,44,1,26
0.03212785720825195,0.0070035457611083984,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9027777777777778,0.8929159802306426,-0.07931971991111125,-0.08114031068363012,0.9443892750744787,0.9422952452078667,0.8664349553128103,0.8657455812795618,0.9345794392523364,0.9227110582639715,0.9259259259259259,0.9044289044289044,0.9433962264150944,0.941747572815534,50,388,15,154,4,41,3,24
0.03131222724914551,0.006990671157836914,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8928571428571429,-0.07485263621470657,-0.08170929489293684,0.976063829787234,0.9412908994248708,0.9361702127659575,0.861244019138756,0.9318181818181819,0.9232558139534884,1.0,0.8981900452488688,0.8723404255319149,0.9497607655502392,41,397,16,153,0,45,6,21
0.03500509262084961,0.008995294570922852,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8051948051948052,0.9036544850498339,-0.1426760037429622,-0.07332155077428901,0.8696296296296295,0.9493589330584369,0.7392592592592593,0.8757683138973005,0.8648648648648649,0.9314420803782506,0.7868852459016393,0.91415313225058,0.96,0.9493975903614458,48,394,14,150,13,37,2,21
0.032021522521972656,0.006995677947998047,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8970588235294118,0.8919803600654664,-0.06006246742444318,-0.08393647681240897,0.978125,0.9378043956587307,0.8395833333333333,0.8602190412618359,0.9306930693069307,0.9228971962616822,0.8867924528301887,0.8997722095671982,0.9791666666666666,0.947242206235012,47,395,14,150,6,44,1,22
0.033998727798461914,0.008999347686767578,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9264705882352942,0.8887070376432079,-0.05083763796030364,-0.08536421142730272,0.9924242424242424,0.9354231778972372,0.9053030303030303,0.8528191023877985,0.945054945054945,0.9214780600461895,0.9148936170212766,0.8966292134831461,0.9772727272727273,0.9477434679334917,43,399,20,144,4,46,1,22
0.033022403717041016,0.006978511810302734,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9375,0.8894308943089431,-0.054756188445951474,-0.0840958153699902,0.9850340136054422,0.9394085813683803,0.9360544217687075,0.8606010823347507,0.9583333333333333,0.92018779342723,0.9787234042553191,0.8990825688073395,0.9387755102040817,0.9423076923076923,46,392,14,155,1,44,3,24
0.032172441482543945,0.00710749626159668,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8787878787878788,0.8955954323001631,-0.07607236402808253,-0.08160160267828949,0.9712195121951219,0.9395964360587001,0.8868292682926829,0.86147923529999,0.8974358974358975,0.9264367816091954,0.9459459459459459,0.9035874439461884,0.8536585365853658,0.9504716981132075,35,403,23,146,2,43,6,21
0.0350039005279541,0.008895158767700195,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8484848484848485,0.8988580750407831,-0.11787254181646746,-0.07550087242960461,0.8946877912395155,0.9501768123263452,0.8387698042870457,0.8692599141197273,0.8717948717948718,0.928735632183908,0.8292682926829268,0.9140271493212669,0.918918918918919,0.9439252336448598,34,404,22,147,7,38,3,24
0.03418374061584473,0.006999969482421875,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8,0.9006410256410257,-0.1395057276283142,-0.07617670678756593,0.9018567639257296,0.9484859945344525,0.790450928381963,0.8683876634784307,0.835820895522388,0.9303370786516854,0.7368421052631579,0.9118942731277533,0.9655172413793104,0.9495412844036697,28,414,16,148,10,40,1,22
0.03800225257873535,0.009021759033203125,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.975,0.8831385642737897,-0.04086913534405972,-0.08662610584357253,0.9827784156142365,0.9378421960549013,0.9540757749712974,0.8578839470986774,0.9850746268656716,0.914004914004914,0.9850746268656716,0.8942307692307693,0.9850746268656716,0.9346733668341709,66,372,12,157,1,44,1,26
0.03438067436218262,0.008000850677490234,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9027777777777778,0.8929159802306426,-0.07931971991111125,-0.08114031068363012,0.9443892750744787,0.9422952452078667,0.8664349553128103,0.8657455812795618,0.9345794392523364,0.9227110582639715,0.9259259259259259,0.9044289044289044,0.9433962264150944,0.941747572815534,50,388,15,154,4,41,3,24
0.03635048866271973,0.008030414581298828,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8928571428571429,-0.07485263621470657,-0.08170929489293684,0.976063829787234,0.9412908994248708,0.9361702127659575,0.861244019138756,0.9318181818181819,0.9232558139534884,1.0,0.8981900452488688,0.8723404255319149,0.9497607655502392,41,397,16,153,0,45,6,21
0.03493046760559082,0.01094198226928711,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8051948051948052,0.9036544850498339,-0.1426760037429622,-0.07332155077428901,0.8696296296296295,0.9493589330584369,0.7392592592592593,0.8757683138973005,0.8648648648648649,0.9314420803782506,0.7868852459016393,0.91415313225058,0.96,0.9493975903614458,48,394,14,150,13,37,2,21
0.0381777286529541,0.007993936538696289,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8970588235294118,0.8919803600654664,-0.06006246742444318,-0.08393647681240897,0.978125,0.9378043956587307,0.8395833333333333,0.8602190412618359,0.9306930693069307,0.9228971962616822,0.8867924528301887,0.8997722095671982,0.9791666666666666,0.947242206235012,47,395,14,150,6,44,1,22
0.035540103912353516,0.008563756942749023,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9264705882352942,0.8887070376432079,-0.05083763796030364,-0.08536421142730272,0.9924242424242424,0.9354231778972372,0.9053030303030303,0.8528191023877985,0.945054945054945,0.9214780600461895,0.9148936170212766,0.8966292134831461,0.9772727272727273,0.9477434679334917,43,399,20,144,4,46,1,22
0.03714346885681152,0.007580280303955078,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9375,0.8894308943089431,-0.054756188445951474,-0.0840958153699902,0.9850340136054422,0.9394085813683803,0.9360544217687075,0.8606010823347507,0.9583333333333333,0.92018779342723,0.9787234042553191,0.8990825688073395,0.9387755102040817,0.9423076923076923,46,392,14,155,1,44,3,24
0.034275054931640625,0.006891489028930664,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8787878787878788,0.8955954323001631,-0.07607236402808253,-0.08160160267828949,0.9712195121951219,0.9395964360587001,0.8868292682926829,0.86147923529999,0.8974358974358975,0.9264367816091954,0.9459459459459459,0.9035874439461884,0.8536585365853658,0.9504716981132075,35,403,23,146,2,43,6,21
0.04189753532409668,0.007624626159667969,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8484848484848485,0.8988580750407831,-0.11787254181646746,-0.07550087242960461,0.8946877912395155,0.9501768123263452,0.8387698042870457,0.8692599141197273,0.8717948717948718,0.928735632183908,0.8292682926829268,0.9140271493212669,0.918918918918919,0.9439252336448598,34,404,22,147,7,38,3,24
0.03478193283081055,0.007002115249633789,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8,0.9006410256410257,-0.1395057276283142,-0.07617670678756593,0.9018567639257296,0.9484859945344525,0.790450928381963,0.8683876634784307,0.835820895522388,0.9303370786516854,0.7368421052631579,0.9118942731277533,0.9655172413793104,0.9495412844036697,28,414,16,148,10,40,1,22
