fit_time,score_time,estimator,test_acc,train_acc,test_brier,train_brier,test_auc,train_auc,test_balanced_acc,train_balanced_acc,test_f1,train_f1,test_precision,train_precision,test_recall,train_recall,test_tp,train_tp,test_tn,train_tn,test_fp,train_fp,test_fn,train_fn
0.1269841194152832,0.023994922637939453,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7012987012987013,0.8338870431893688,-0.1794825860918336,-0.12161749541448247,0.7822222222222223,0.8891179692030152,0.6507407407407407,0.7943173764577025,0.780952380952381,0.8817966903073287,0.7454545454545455,0.8654292343387471,0.82,0.8987951807228916,41,373,13,129,14,58,9,42
0.13798975944519043,0.038002729415893555,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8297872340425532,-0.12167085292218026,-0.14236929447214403,0.9010416666666666,0.870293455956884,0.7895833333333333,0.7719288486736384,0.912621359223301,0.8818181818181818,0.8545454545454545,0.838012958963283,0.9791666666666666,0.9304556354916067,47,388,12,119,8,75,1,29
0.14909839630126953,0.030011415481567383,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8235294117647058,0.823240589198036,-0.1190149408880037,-0.13021807463857232,0.9195075757575758,0.8741217652206525,0.7878787878787878,0.7778784848106013,0.8695652173913043,0.8749999999999999,0.8333333333333334,0.8532731376975169,0.9090909090909091,0.8978622327790974,40,378,16,125,8,65,4,43
0.1670234203338623,0.028005599975585938,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.890625,0.8130081300813008,-0.10701733193204939,-0.13079061870531206,0.9278911564625851,0.8768844221105527,0.9054421768707483,0.775276623502126,0.9247311827956989,0.8645465253239105,0.9772727272727273,0.8475750577367206,0.8775510204081632,0.8822115384615384,43,367,14,133,1,66,6,49
0.10798978805541992,0.02001023292541504,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8636363636363636,0.8270799347471451,-0.13210097463967949,-0.14180952602179508,0.9385365853658536,0.8659154437456323,0.8590243902439024,0.7591656683637815,0.888888888888889,0.8822222222222221,0.9,0.8340336134453782,0.8780487804878049,0.9363207547169812,36,397,21,110,4,79,5,27
0.11301708221435547,0.024016380310058594,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7272727272727273,0.8368678629690048,-0.19496533032149932,-0.1324260023298139,0.8005591798695246,0.8863728214195503,0.6971109040074557,0.7711606466279364,0.7954545454545455,0.8891352549889134,0.6862745098039216,0.8459915611814346,0.9459459459459459,0.9369158878504673,35,401,13,112,16,73,2,27
0.10699701309204102,0.019985198974609375,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7636363636363637,0.8301282051282052,-0.18590654603512521,-0.12225094278351498,0.8275862068965518,0.8849551044309975,0.7579575596816976,0.7816220964278743,0.7936507936507937,0.8814317673378077,0.7352941176470589,0.8602620087336245,0.8620689655172413,0.9036697247706422,25,394,17,124,9,64,4,42
0.12303566932678223,0.019969701766967773,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8625,0.8297161936560935,-0.10588893926853937,-0.14604122908680314,0.9012629161882894,0.8704342608565214,0.7629161882893226,0.7881322033050826,0.9172932330827067,0.8771084337349397,0.9242424242424242,0.8425925925925926,0.9104477611940298,0.914572864321608,61,364,8,133,5,68,6,34
0.1100149154663086,0.018985509872436523,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7638888888888888,0.8319604612850082,-0.1474941376131796,-0.1379195797977092,0.8053624627606754,0.8801593228777695,0.6708043694141013,0.7830283793876027,0.8440366972477065,0.8813953488372094,0.8214285714285714,0.8459821428571429,0.8679245283018868,0.9199029126213593,46,379,9,126,10,69,7,33
0.1210176944732666,0.019985198974609375,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8198051948051948,-0.11412723920579279,-0.14178576304684665,0.9348404255319148,0.8706804891015417,0.8743351063829787,0.7688729399255716,0.9361702127659575,0.872852233676976,0.9361702127659575,0.8373626373626374,0.9361702127659575,0.9114832535885168,44,381,13,124,3,74,3,37
0.12900638580322266,0.019980192184448242,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7012987012987013,0.8338870431893688,-0.1794825860918336,-0.12161749541448247,0.7822222222222223,0.8891179692030152,0.6507407407407407,0.7943173764577025,0.780952380952381,0.8817966903073287,0.7454545454545455,0.8654292343387471,0.82,0.8987951807228916,41,373,13,129,14,58,9,42
0.1139066219329834,0.021097660064697266,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8297872340425532,-0.12167085292218026,-0.14236929447214403,0.9010416666666666,0.870293455956884,0.7895833333333333,0.7719288486736384,0.912621359223301,0.8818181818181818,0.8545454545454545,0.838012958963283,0.9791666666666666,0.9304556354916067,47,388,12,119,8,75,1,29
0.12299418449401855,0.023998022079467773,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8235294117647058,0.823240589198036,-0.1190149408880037,-0.13021807463857232,0.9195075757575758,0.8741217652206525,0.7878787878787878,0.7778784848106013,0.8695652173913043,0.8749999999999999,0.8333333333333334,0.8532731376975169,0.9090909090909091,0.8978622327790974,40,378,16,125,8,65,4,43
0.1150825023651123,0.022006750106811523,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.890625,0.8130081300813008,-0.10701733193204939,-0.13079061870531206,0.9278911564625851,0.8768844221105527,0.9054421768707483,0.775276623502126,0.9247311827956989,0.8645465253239105,0.9772727272727273,0.8475750577367206,0.8775510204081632,0.8822115384615384,43,367,14,133,1,66,6,49
0.10889363288879395,0.020000934600830078,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8636363636363636,0.8270799347471451,-0.13210097463967949,-0.14180952602179508,0.9385365853658536,0.8659154437456323,0.8590243902439024,0.7591656683637815,0.888888888888889,0.8822222222222221,0.9,0.8340336134453782,0.8780487804878049,0.9363207547169812,36,397,21,110,4,79,5,27
0.11197686195373535,0.021006345748901367,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7272727272727273,0.8368678629690048,-0.19496533032149932,-0.1324260023298139,0.8005591798695246,0.8863728214195503,0.6971109040074557,0.7711606466279364,0.7954545454545455,0.8891352549889134,0.6862745098039216,0.8459915611814346,0.9459459459459459,0.9369158878504673,35,401,13,112,16,73,2,27
0.11701488494873047,0.019979476928710938,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7636363636363637,0.8301282051282052,-0.18590654603512521,-0.12225094278351498,0.8275862068965518,0.8849551044309975,0.7579575596816976,0.7816220964278743,0.7936507936507937,0.8814317673378077,0.7352941176470589,0.8602620087336245,0.8620689655172413,0.9036697247706422,25,394,17,124,9,64,4,42
0.12109923362731934,0.02000880241394043,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8625,0.8297161936560935,-0.10588893926853937,-0.14604122908680314,0.9012629161882894,0.8704342608565214,0.7629161882893226,0.7881322033050826,0.9172932330827067,0.8771084337349397,0.9242424242424242,0.8425925925925926,0.9104477611940298,0.914572864321608,61,364,8,133,5,68,6,34
0.12011480331420898,0.019986629486083984,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7638888888888888,0.8319604612850082,-0.1474941376131796,-0.1379195797977092,0.8053624627606754,0.8801593228777695,0.6708043694141013,0.7830283793876027,0.8440366972477065,0.8813953488372094,0.8214285714285714,0.8459821428571429,0.8679245283018868,0.9199029126213593,46,379,9,126,10,69,7,33
0.11196017265319824,0.018999338150024414,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8198051948051948,-0.11412723920579279,-0.14178576304684665,0.9348404255319148,0.8706804891015417,0.8743351063829787,0.7688729399255716,0.9361702127659575,0.872852233676976,0.9361702127659575,0.8373626373626374,0.9361702127659575,0.9114832535885168,44,381,13,124,3,74,3,37
0.11698746681213379,0.021998882293701172,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7012987012987013,0.8338870431893688,-0.1794825860918336,-0.12161749541448247,0.7822222222222223,0.8891179692030152,0.6507407407407407,0.7943173764577025,0.780952380952381,0.8817966903073287,0.7454545454545455,0.8654292343387471,0.82,0.8987951807228916,41,373,13,129,14,58,9,42
0.13205218315124512,0.02105093002319336,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8297872340425532,-0.12167085292218026,-0.14236929447214403,0.9010416666666666,0.870293455956884,0.7895833333333333,0.7719288486736384,0.912621359223301,0.8818181818181818,0.8545454545454545,0.838012958963283,0.9791666666666666,0.9304556354916067,47,388,12,119,8,75,1,29
0.13005709648132324,0.019005537033081055,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8235294117647058,0.823240589198036,-0.1190149408880037,-0.13021807463857232,0.9195075757575758,0.8741217652206525,0.7878787878787878,0.7778784848106013,0.8695652173913043,0.8749999999999999,0.8333333333333334,0.8532731376975169,0.9090909090909091,0.8978622327790974,40,378,16,125,8,65,4,43
0.11499619483947754,0.020096302032470703,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.890625,0.8130081300813008,-0.10701733193204939,-0.13079061870531206,0.9278911564625851,0.8768844221105527,0.9054421768707483,0.775276623502126,0.9247311827956989,0.8645465253239105,0.9772727272727273,0.8475750577367206,0.8775510204081632,0.8822115384615384,43,367,14,133,1,66,6,49
0.1080174446105957,0.021976947784423828,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8636363636363636,0.8270799347471451,-0.13210097463967949,-0.14180952602179508,0.9385365853658536,0.8659154437456323,0.8590243902439024,0.7591656683637815,0.888888888888889,0.8822222222222221,0.9,0.8340336134453782,0.8780487804878049,0.9363207547169812,36,397,21,110,4,79,5,27
0.12699007987976074,0.020005464553833008,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7272727272727273,0.8368678629690048,-0.19496533032149932,-0.1324260023298139,0.8005591798695246,0.8863728214195503,0.6971109040074557,0.7711606466279364,0.7954545454545455,0.8891352549889134,0.6862745098039216,0.8459915611814346,0.9459459459459459,0.9369158878504673,35,401,13,112,16,73,2,27
0.11298656463623047,0.020003557205200195,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7636363636363637,0.8301282051282052,-0.18590654603512521,-0.12225094278351498,0.8275862068965518,0.8849551044309975,0.7579575596816976,0.7816220964278743,0.7936507936507937,0.8814317673378077,0.7352941176470589,0.8602620087336245,0.8620689655172413,0.9036697247706422,25,394,17,124,9,64,4,42
0.13691401481628418,0.020986557006835938,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8625,0.8297161936560935,-0.10588893926853937,-0.14604122908680314,0.9012629161882894,0.8704342608565214,0.7629161882893226,0.7881322033050826,0.9172932330827067,0.8771084337349397,0.9242424242424242,0.8425925925925926,0.9104477611940298,0.914572864321608,61,364,8,133,5,68,6,34
0.11389756202697754,0.021094322204589844,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7638888888888888,0.8319604612850082,-0.1474941376131796,-0.1379195797977092,0.8053624627606754,0.8801593228777695,0.6708043694141013,0.7830283793876027,0.8440366972477065,0.8813953488372094,0.8214285714285714,0.8459821428571429,0.8679245283018868,0.9199029126213593,46,379,9,126,10,69,7,33
0.11389613151550293,0.018998146057128906,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.9047619047619048,0.8198051948051948,-0.11412723920579279,-0.14178576304684665,0.9348404255319148,0.8706804891015417,0.8743351063829787,0.7688729399255716,0.9361702127659575,0.872852233676976,0.9361702127659575,0.8373626373626374,0.9361702127659575,0.9114832535885168,44,381,13,124,3,74,3,37
0.11003327369689941,0.019987821578979492,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7012987012987013,0.8338870431893688,-0.1794825860918336,-0.12161749541448247,0.7822222222222223,0.8891179692030152,0.6507407407407407,0.7943173764577025,0.780952380952381,0.8817966903073287,0.7454545454545455,0.8654292343387471,0.82,0.8987951807228916,41,373,13,129,14,58,9,42
0.11501026153564453,0.02498030662536621,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8676470588235294,0.8297872340425532,-0.12167085292218026,-0.14236929447214403,0.9010416666666666,0.870293455956884,0.7895833333333333,0.7719288486736384,0.912621359223301,0.8818181818181818,0.8545454545454545,0.838012958963283,0.9791666666666666,0.9304556354916067,47,388,12,119,8,75,1,29
0.13500738143920898,0.02000260353088379,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8235294117647058,0.823240589198036,-0.1190149408880037,-0.13021807463857232,0.9195075757575758,0.8741217652206525,0.7878787878787878,0.7778784848106013,0.8695652173913043,0.8749999999999999,0.8333333333333334,0.8532731376975169,0.9090909090909091,0.8978622327790974,40,378,16,125,8,65,4,43
0.1540977954864502,0.03200840950012207,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.890625,0.8130081300813008,-0.10701733193204939,-0.13079061870531206,0.9278911564625851,0.8768844221105527,0.9054421768707483,0.775276623502126,0.9247311827956989,0.8645465253239105,0.9772727272727273,0.8475750577367206,0.8775510204081632,0.8822115384615384,43,367,14,133,1,66,6,49
0.15800261497497559,0.023993492126464844,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.8636363636363636,0.8270799347471451,-0.13210097463967949,-0.14180952602179508,0.9385365853658536,0.8659154437456323,0.8590243902439024,0.7591656683637815,0.888888888888889,0.8822222222222221,0.9,0.8340336134453782,0.8780487804878049,0.9363207547169812,36,397,21,110,4,79,5,27
0.134993314743042,0.01900029182434082,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7272727272727273,0.8368678629690048,-0.19496533032149932,-0.1324260023298139,0.8005591798695246,0.8863728214195503,0.6971109040074557,0.7711606466279364,0.7954545454545455,0.8891352549889134,0.6862745098039216,0.8459915611814346,0.9459459459459459,0.9369158878504673,35,401,13,112,16,73,2,27
0.10999512672424316,0.01900458335876465,"Pipeline(steps=[('impute', SimpleImputer()), ('scale', StandardScaler()),
                ('lr', LogisticRegressionCV())])",0.7636363636363637,0.8301282051282052,-0.18590654603512521,-0.12225094278351498,0.8275862068965518,0.8849551044309975,0.7579575596816976,0.7816220964278743,0.7936507936507937,0.8814317673378077,0.7352941176470589,0.8602620087336245,0.8620689655172413,0.9036697247706422,25,394,17,124,9,64,4,42
